post_id,platform,topic,text_length,likes,shares,comments,hashtags,mentions,sentiment,engagement_rate,verified_account,sample_text
POST00031,Twitter,Sports,167,91,7,13,0,0,Positive,0.49534240419080666,False,This is wonderful fantastic amazing content about business
POST00032,Twitter,Health,55,90,40,3,4,1,Neutral,0.9215934651081522,True,This is average regular fine content about entertainment
POST00033,Facebook,Technology,224,0,7,2,9,4,Neutral,0.966703366839717,False,This is average standard normal content about education
POST00034,TikTok,Business,91,177,4,13,3,0,Positive,0.9992804761373358,True,This is fantastic wonderful love content about technology
POST00035,LinkedIn,Sports,84,108,14,9,1,3,Positive,0.7096858586106557,False,This is great fantastic wonderful content about technology
POST00036,TikTok,Entertainment,84,317,2,2,8,3,Positive,0.8764371124714281,False,This is excellent love great content about sports
POST00037,TikTok,Business,88,155,8,1,4,0,Neutral,0.0667045953482367,True,This is standard average okay content about health
POST00038,LinkedIn,Sports,194,38,1,21,4,1,Positive,0.40588964974574093,False,This is amazing love wonderful content about entertainment
POST00039,Twitter,Education,267,78,72,2,5,0,Neutral,0.27685613451119495,False,This is standard okay typical content about politics
POST00040,Instagram,Sports,152,15,13,6,9,0,Positive,0.7034882281947524,False,This is fantastic excellent amazing content about education
POST00041,LinkedIn,Health,99,288,41,14,6,4,Positive,0.5817845462768728,False,This is great wonderful best content about health
POST00042,Twitter,Technology,250,6,10,6,6,2,Neutral,0.032643996953166554,False,This is okay okay typical content about education
POST00043,LinkedIn,Education,154,20,46,4,1,3,Negative,0.3963632630976336,False,This is bad terrible horrible content about entertainment
POST00044,TikTok,Business,117,44,14,5,7,4,Positive,0.9138604053285767,False,This is fantastic amazing fantastic content about technology
POST00045,Facebook,Politics,25,98,0,3,1,2,Positive,0.2221088803936303,True,This is wonderful great amazing content about technology
POST00046,TikTok,Technology,207,259,19,7,4,1,Positive,0.3892236566031321,False,This is love best great content about health
POST00047,Facebook,Health,228,125,47,5,6,3,Positive,0.6340021067404618,False,This is great love great content about entertainment
POST00048,Twitter,Technology,119,178,60,7,3,4,Negative,0.9976547742719647,False,This is worst worst disappointing content about health
POST00049,Twitter,Health,260,40,16,9,6,2,Positive,0.07464309699151606,False,This is best fantastic best content about sports
POST00050,Facebook,Entertainment,193,17,13,10,0,2,Neutral,0.00304014102482697,False,This is regular average typical content about entertainment
POST00051,TikTok,Entertainment,41,13,46,1,5,1,Neutral,0.0898122426458422,False,This is average average average content about entertainment
POST00052,Facebook,Technology,150,35,30,6,5,4,Negative,0.19198943976129224,False,This is horrible bad hate content about technology
POST00053,LinkedIn,Health,248,199,16,9,1,3,Positive,0.8257263285637251,False,This is wonderful great excellent content about business
POST00054,TikTok,Politics,159,93,1,6,0,1,Positive,0.007144841109534061,False,This is best amazing excellent content about entertainment
POST00055,LinkedIn,Entertainment,136,25,17,19,4,3,Negative,0.5436982914481612,False,This is awful disappointing awful content about sports
POST00056,Instagram,Business,249,20,4,11,3,1,Positive,0.7089132554219971,False,This is wonderful amazing excellent content about technology
POST00057,Instagram,Technology,247,197,2,22,3,1,Positive,0.232392237451985,False,This is great excellent great content about sports
POST00058,Instagram,Business,82,13,32,11,4,3,Negative,0.025298862346737616,False,This is horrible disappointing awful content about education
POST00059,Twitter,Technology,230,81,34,0,6,0,Neutral,0.047649944113009934,False,This is regular standard average content about politics
POST00060,LinkedIn,Health,98,182,32,5,4,0,Neutral,0.7466065163875594,False,This is standard average regular content about business
POST00061,Instagram,Technology,50,70,16,5,2,4,Negative,0.11075375154645861,False,This is horrible terrible disappointing content about health
POST00062,TikTok,Education,111,69,1,17,4,2,Negative,0.14174494637266588,False,This is hate awful hate content about health
POST00063,Twitter,Health,120,81,32,14,1,3,Negative,0.5561404580228549,False,This is disappointing disappointing hate content about technology
POST00064,Facebook,Entertainment,233,1,42,15,2,1,Neutral,0.8725720741627555,False,This is average typical standard content about health
POST00065,LinkedIn,Sports,57,172,16,3,4,3,Negative,0.346353111356675,False,This is worst disappointing awful content about politics
POST00066,Twitter,Entertainment,47,79,14,2,5,4,Neutral,0.6358990586409003,False,This is normal okay normal content about politics
POST00067,Twitter,Technology,81,21,13,15,9,4,Neutral,0.08843981212140728,False,This is fine regular regular content about technology
POST00068,Twitter,Sports,64,72,8,0,9,2,Neutral,0.9570040639595929,False,This is average standard okay content about education
POST00069,LinkedIn,Technology,268,240,27,10,9,1,Positive,0.4536721365244111,False,This is best best fantastic content about entertainment
POST00070,Facebook,Education,149,59,20,19,5,2,Positive,0.10495724474522028,False,This is fantastic love wonderful content about entertainment
POST00071,Instagram,Health,109,80,7,3,9,2,Positive,0.9631206482543642,False,This is great fantastic best content about education
POST00072,Facebook,Education,229,119,4,0,5,1,Neutral,0.03219548912187342,False,This is standard average regular content about education
POST00073,TikTok,Entertainment,203,90,12,24,0,2,Neutral,0.011654186456513171,False,This is regular regular normal content about health
POST00074,LinkedIn,Sports,192,564,0,9,1,1,Positive,0.35919409194283736,False,This is amazing love love content about health
POST00075,LinkedIn,Sports,154,86,42,1,4,2,Positive,0.9258094475486891,True,This is best great fantastic content about sports
POST00076,Twitter,Sports,136,18,9,39,0,4,Negative,0.9541309325942477,False,This is worst disappointing horrible content about sports
POST00077,Instagram,Entertainment,75,75,13,7,5,2,Negative,0.2837469859706452,False,This is awful horrible hate content about sports
POST00078,Instagram,Health,233,129,23,22,5,1,Positive,0.5062387902420687,False,This is fantastic excellent love content about entertainment
POST00079,Twitter,Politics,241,12,1,12,7,4,Neutral,0.3391734347379691,False,This is regular typical normal content about sports
POST00080,TikTok,Entertainment,59,184,28,6,2,4,Positive,0.7829329610812424,False,This is wonderful excellent wonderful content about technology
POST00081,Instagram,Technology,108,571,5,5,9,1,Positive,0.4509765759927403,False,This is fantastic best excellent content about sports
POST00082,Facebook,Business,33,32,12,16,4,3,Positive,0.9491715698692783,False,This is amazing best best content about education
POST00083,TikTok,Health,264,0,7,12,4,1,Positive,0.8865610724145667,False,This is amazing great wonderful content about sports
POST00084,Instagram,Politics,143,144,9,10,3,0,Neutral,0.801533373933545,False,This is typical standard average content about health
POST00085,Instagram,Business,73,41,1,1,1,1,Negative,0.5435372925644867,False,This is bad terrible terrible content about business
POST00086,Instagram,Entertainment,137,33,21,4,8,3,Neutral,0.5580647734392636,True,This is fine typical average content about entertainment
POST00087,TikTok,Politics,87,4,6,35,5,1,Neutral,0.014315470038863465,False,This is regular okay normal content about health
POST00088,Twitter,Sports,265,126,17,17,7,0,Positive,0.05147936503113315,False,This is fantastic fantastic best content about business
POST00089,LinkedIn,Entertainment,86,96,62,3,5,4,Positive,0.46739291671725847,False,This is excellent great fantastic content about politics
POST00090,Twitter,Politics,96,558,4,10,2,4,Negative,0.6427002529958361,False,This is awful worst terrible content about sports
POST00091,TikTok,Sports,99,6,9,24,2,2,Neutral,0.9559070220303627,False,This is okay okay normal content about education
POST00092,Instagram,Sports,214,3,17,4,0,2,Neutral,0.6622402056182052,False,This is regular fine fine content about politics
POST00093,Twitter,Business,95,63,2,6,9,1,Positive,0.5375389408670139,False,This is fantastic wonderful excellent content about entertainment
POST00094,Twitter,Technology,213,29,9,8,4,2,Neutral,0.05070257624272667,False,This is okay average standard content about health
POST00095,Twitter,Sports,150,228,0,5,8,2,Positive,0.3745800733942316,False,This is excellent wonderful excellent content about technology
POST00096,Facebook,Education,66,32,8,2,3,1,Neutral,0.5521184050933611,False,This is typical standard okay content about technology
POST00097,Instagram,Politics,163,78,1,7,3,4,Positive,0.48814531937655603,False,This is amazing wonderful best content about sports
POST00098,Twitter,Education,193,3,9,0,3,2,Neutral,0.7462477660427442,False,This is average okay average content about sports
POST00099,Instagram,Education,117,86,19,5,9,1,Positive,0.24902795022889912,False,This is love amazing best content about business
POST00100,Instagram,Education,33,60,13,1,2,1,Neutral,0.17388014601732638,False,This is average fine normal content about technology
POST00101,Facebook,Politics,232,176,4,2,7,3,Positive,0.9072215151824541,False,This is amazing amazing great content about politics
POST00102,TikTok,Sports,107,20,32,12,4,2,Neutral,0.7197675090346306,False,This is standard typical standard content about education
POST00103,Instagram,Technology,243,3,2,1,4,4,Positive,0.7558457123722855,False,This is best excellent wonderful content about politics
POST00104,Instagram,Sports,159,21,6,1,9,1,Neutral,0.9976592683426744,False,This is regular okay typical content about entertainment
POST00105,Facebook,Sports,53,18,9,11,5,4,Positive,0.9527916765110518,False,This is love love love content about politics
POST00106,Twitter,Health,221,275,24,4,1,4,Positive,0.4338665762679973,False,This is best excellent love content about health
POST00107,LinkedIn,Health,34,42,43,14,8,4,Negative,0.5039232660860272,False,This is bad worst awful content about sports
POST00108,Instagram,Technology,245,137,6,12,4,0,Positive,0.9679746501925363,False,This is love amazing love content about sports
POST00109,TikTok,Health,181,215,29,7,8,1,Neutral,0.43496979874473574,False,This is typical normal fine content about health
POST00110,LinkedIn,Entertainment,119,35,13,13,3,0,Neutral,0.9562285112494069,False,This is standard okay typical content about technology
POST00111,Facebook,Technology,85,226,6,12,7,0,Negative,0.5910364034068265,False,This is awful bad horrible content about education
POST00112,Facebook,Technology,134,13,1,16,1,3,Positive,0.4143738978990821,False,This is excellent best excellent content about politics
POST00113,TikTok,Business,126,146,37,8,7,3,Positive,0.30461826703227224,False,This is great wonderful amazing content about sports
POST00114,TikTok,Health,150,15,3,17,0,3,Negative,0.9953951385942911,False,This is bad horrible hate content about business
POST00115,LinkedIn,Education,38,50,22,27,2,3,Neutral,0.20871881622397292,True,This is typical standard regular content about business
POST00116,LinkedIn,Politics,67,5,34,1,7,2,Neutral,0.8310769489453956,False,This is normal typical standard content about sports
POST00117,Twitter,Entertainment,211,15,33,15,1,4,Positive,0.6730796602294082,False,This is wonderful wonderful wonderful content about sports
POST00118,Twitter,Sports,202,47,33,13,9,0,Neutral,0.08634443844167916,False,This is average typical normal content about entertainment
POST00119,Twitter,Education,72,48,24,8,4,3,Negative,0.8426991770910162,False,This is terrible terrible awful content about business
POST00120,Twitter,Entertainment,150,69,11,22,2,0,Negative,0.2651022498487401,False,This is terrible hate terrible content about politics
POST00121,TikTok,Entertainment,168,52,32,17,3,1,Neutral,0.28072040139626686,False,This is average standard average content about business
POST00122,Twitter,Health,40,134,7,18,7,1,Neutral,0.2506853746486385,False,This is fine average average content about entertainment
POST00123,Twitter,Politics,236,141,38,0,2,3,Neutral,0.6339497229233522,False,This is fine normal normal content about sports
POST00124,LinkedIn,Education,171,116,6,28,5,3,Neutral,0.6811138260223583,False,This is regular typical regular content about technology
POST00125,Twitter,Technology,139,47,17,30,3,2,Positive,0.20287141639249684,False,This is fantastic fantastic amazing content about business
POST00126,TikTok,Business,233,35,9,14,2,0,Positive,0.5883784644672648,False,This is fantastic love best content about sports
POST00127,Instagram,Entertainment,217,98,64,27,5,3,Positive,0.8706490162407109,True,This is amazing best wonderful content about politics
POST00128,LinkedIn,Education,106,97,1,12,5,2,Positive,0.6319032438088693,False,This is amazing wonderful love content about business
POST00129,LinkedIn,Politics,243,115,9,2,0,0,Neutral,0.8422153691511223,False,This is regular typical okay content about business
POST00130,TikTok,Entertainment,111,276,52,19,8,2,Neutral,0.5894369249023103,False,This is average standard standard content about entertainment
POST00131,Facebook,Entertainment,259,155,2,57,3,2,Positive,0.9247327608960547,False,This is love excellent amazing content about business
POST00132,Instagram,Sports,216,28,15,17,0,0,Negative,0.8146546623655144,False,This is hate bad worst content about sports
POST00133,Twitter,Politics,58,122,26,0,1,4,Negative,0.01585642391172526,False,This is hate horrible terrible content about sports
POST00134,LinkedIn,Health,47,202,6,4,1,1,Neutral,0.7822001990157751,False,This is normal normal okay content about business
POST00135,Instagram,Health,97,103,1,2,4,3,Positive,0.04290693346107988,False,This is great great best content about health
POST00136,Instagram,Education,43,91,32,0,2,0,Negative,0.7283939554617689,False,This is hate horrible horrible content about technology
POST00137,LinkedIn,Entertainment,220,78,4,12,9,0,Neutral,0.5973717063562842,False,This is regular regular average content about business
POST00138,Twitter,Business,49,216,4,17,2,1,Positive,0.5128924226518807,False,This is fantastic love love content about politics
POST00139,TikTok,Politics,73,96,39,1,3,2,Positive,0.1680722584057166,False,This is amazing fantastic amazing content about sports
POST00140,LinkedIn,Sports,186,60,4,6,3,2,Positive,0.38018648797696986,False,This is fantastic love amazing content about entertainment
POST00141,TikTok,Education,156,42,56,7,5,2,Neutral,0.14205029772870836,False,This is average fine average content about business
POST00142,Facebook,Education,197,9,9,18,1,3,Negative,0.2561469394900242,False,This is bad bad awful content about entertainment
POST00143,Facebook,Business,186,152,33,4,2,3,Neutral,0.8252410717949873,False,This is typical regular typical content about politics
POST00144,Instagram,Politics,41,65,24,3,4,2,Positive,0.8081673418842541,False,This is fantastic amazing amazing content about business
POST00145,Instagram,Technology,221,126,3,10,7,4,Positive,0.5695142569468151,False,This is great fantastic fantastic content about education
POST00146,TikTok,Health,176,24,10,20,3,2,Neutral,0.9908634156266787,False,This is normal typical fine content about technology
POST00147,Facebook,Technology,166,108,36,22,7,3,Positive,0.9088522581880383,True,This is great fantastic fantastic content about sports
POST00148,LinkedIn,Politics,159,9,50,9,8,0,Negative,0.9503006484700917,False,This is horrible disappointing horrible content about education
POST00149,Facebook,Technology,273,45,40,0,2,0,Positive,0.15712681155155017,False,This is excellent excellent love content about business
POST00150,Instagram,Entertainment,270,21,17,3,3,1,Neutral,0.01578796990285658,False,This is standard standard standard content about technology
POST00151,LinkedIn,Entertainment,132,5,10,0,6,4,Negative,0.0726058439571946,False,This is bad terrible terrible content about business
POST00152,Facebook,Entertainment,209,15,13,9,1,2,Neutral,0.15420069487323307,False,This is average regular typical content about health
POST00153,Facebook,Business,61,0,26,14,4,4,Negative,0.08429705291412937,True,This is horrible horrible terrible content about education
POST00154,Twitter,Business,218,4,28,1,3,2,Positive,0.013061476926102267,False,This is best excellent fantastic content about technology
POST00155,Facebook,Health,134,53,3,12,3,2,Neutral,0.7183526276708703,False,This is normal typical average content about politics
POST00156,Twitter,Sports,240,7,28,3,4,0,Positive,0.47385315693947916,False,This is wonderful excellent fantastic content about health
POST00157,LinkedIn,Business,143,165,63,5,7,1,Positive,0.9681449385952755,False,This is great wonderful amazing content about education
POST00158,Facebook,Entertainment,242,133,4,6,7,0,Neutral,0.6410602125649658,False,This is standard okay standard content about education
POST00159,Facebook,Entertainment,112,12,12,10,5,1,Neutral,0.7218670219586406,False,This is normal standard standard content about health
POST00160,TikTok,Education,176,77,3,5,8,4,Positive,0.6071095993597476,False,This is love love wonderful content about politics
POST00161,Twitter,Entertainment,259,5,14,4,2,0,Positive,0.4330014398927541,False,This is excellent love wonderful content about politics
POST00162,Twitter,Entertainment,75,64,7,1,5,2,Positive,0.6375667025733267,False,This is best love great content about business
POST00163,Twitter,Sports,75,56,0,14,1,4,Neutral,0.8436506999757182,False,This is okay normal okay content about sports
POST00164,TikTok,Sports,156,22,34,6,3,4,Positive,0.39353565095325027,False,This is excellent best best content about entertainment
POST00165,Instagram,Health,66,29,8,5,7,1,Neutral,0.4205322202669938,False,This is fine normal standard content about politics
POST00166,LinkedIn,Politics,38,66,29,4,3,3,Positive,0.6442500860760995,False,This is great excellent wonderful content about technology
POST00167,LinkedIn,Technology,66,15,44,6,8,0,Positive,0.29234098597501623,False,This is best love great content about technology
POST00168,Twitter,Health,74,158,7,2,1,2,Positive,0.5719669586499875,False,This is great best wonderful content about technology
POST00169,LinkedIn,Politics,241,278,79,2,7,1,Positive,0.876086397488808,False,This is wonderful great best content about business
POST00170,Instagram,Business,116,99,17,13,5,0,Positive,0.7730436634745326,False,This is wonderful amazing great content about education
POST00171,Instagram,Business,206,221,3,2,2,0,Negative,0.08927130813485962,False,This is awful horrible bad content about sports
POST00172,TikTok,Politics,186,22,2,3,2,3,Neutral,0.5174204739654344,False,This is okay average average content about technology
POST00173,TikTok,Health,172,28,0,0,2,4,Negative,0.6659681277622459,False,This is bad worst terrible content about entertainment
POST00174,Facebook,Technology,146,0,23,4,9,3,Positive,0.2794985538845549,False,This is wonderful love fantastic content about technology
POST00175,LinkedIn,Sports,62,61,2,3,6,1,Negative,0.32129773649423243,False,This is horrible awful terrible content about technology
POST00176,TikTok,Sports,31,130,7,32,2,1,Neutral,0.36266363440750127,False,This is fine regular typical content about education
POST00177,Instagram,Business,60,143,26,10,7,4,Negative,0.21333370781853656,False,This is worst awful worst content about politics
POST00178,TikTok,Technology,28,189,35,4,6,1,Neutral,0.5480777832116107,False,This is average typical regular content about health
POST00179,LinkedIn,Business,191,21,9,24,7,1,Positive,0.9332634470877527,False,This is love best love content about entertainment
POST00180,Instagram,Entertainment,97,10,3,8,0,2,Negative,0.6189488238043194,False,This is hate bad disappointing content about education
POST00181,Instagram,Education,241,72,14,2,8,2,Neutral,0.0625195339388408,False,This is average regular regular content about health
POST00182,TikTok,Entertainment,28,28,27,2,1,3,Negative,0.4049908688488345,False,This is worst awful terrible content about education
POST00183,TikTok,Politics,193,8,9,3,1,0,Positive,0.005704031549744304,False,This is love best excellent content about business
POST00184,LinkedIn,Health,270,88,33,4,3,1,Neutral,0.16963418368573502,False,This is average typical typical content about entertainment
POST00185,TikTok,Politics,51,19,21,1,2,2,Neutral,0.554973330932271,False,This is normal okay regular content about business
POST00186,Instagram,Politics,262,4,16,2,3,3,Neutral,0.5586643607413012,False,This is standard regular normal content about health
POST00187,Facebook,Health,134,51,55,2,7,2,Neutral,0.06861329052106269,False,This is okay typical normal content about business
POST00188,LinkedIn,Business,153,2,0,34,7,4,Positive,0.3234456633142494,False,This is great amazing great content about business
POST00189,TikTok,Technology,205,143,72,30,5,3,Negative,0.7355282209539246,False,This is awful terrible terrible content about entertainment
POST00190,TikTok,Technology,263,33,2,7,9,2,Neutral,0.8190616298416683,False,This is standard normal fine content about health
POST00191,TikTok,Entertainment,191,106,35,37,4,0,Neutral,0.5135170197055301,True,This is typical regular standard content about entertainment
POST00192,Twitter,Health,141,289,25,0,5,4,Negative,0.3499743901151713,False,This is bad worst worst content about sports
POST00193,Facebook,Politics,78,28,0,9,0,3,Positive,0.1509495455957599,False,This is great wonderful excellent content about politics
POST00194,TikTok,Business,115,157,24,11,9,2,Neutral,0.7703077452848761,False,This is average okay regular content about politics
POST00195,Facebook,Business,140,502,21,7,2,4,Negative,0.20143080611724495,True,This is awful disappointing hate content about entertainment
POST00196,LinkedIn,Health,51,0,40,15,9,3,Positive,0.790432658078176,False,This is fantastic fantastic amazing content about business
POST00197,Facebook,Politics,261,105,5,16,0,0,Positive,0.5505795963883546,False,This is amazing great amazing content about business
POST00198,Facebook,Entertainment,148,62,2,13,6,3,Positive,0.16056681314279964,False,This is love best best content about health
POST00199,Instagram,Entertainment,82,119,71,1,1,0,Positive,0.08295828530217042,False,This is great best love content about health
POST00200,TikTok,Business,39,40,5,1,0,3,Neutral,0.8196257791118219,False,This is regular fine typical content about business
POST00201,Twitter,Politics,27,0,28,23,0,2,Neutral,0.7128453943005697,False,This is standard fine normal content about sports
POST00202,LinkedIn,Politics,197,27,63,0,4,0,Neutral,0.01981226750411802,False,This is standard typical standard content about health
POST00203,TikTok,Business,212,0,34,27,6,4,Negative,0.6052034653738048,False,This is horrible terrible horrible content about politics
POST00204,Instagram,Health,274,74,40,2,0,2,Positive,0.40877628715155456,False,This is great best fantastic content about business
POST00205,Facebook,Entertainment,258,107,14,13,5,2,Positive,0.9760327532926375,False,This is excellent fantastic wonderful content about technology
POST00206,Twitter,Business,231,182,28,7,5,2,Negative,0.722957424758946,False,This is terrible bad awful content about technology
POST00207,Instagram,Entertainment,227,1,3,6,5,3,Positive,0.8127240259305337,False,This is great best amazing content about sports
POST00208,Facebook,Sports,182,101,2,0,9,3,Negative,0.25497977073769595,False,This is bad awful hate content about entertainment
POST00209,TikTok,Entertainment,144,28,13,5,9,0,Positive,0.5566431812326555,False,This is fantastic amazing best content about politics
POST00210,TikTok,Sports,65,172,3,16,0,1,Positive,0.5716651741716261,True,This is amazing best amazing content about sports
POST00211,LinkedIn,Sports,42,174,15,32,6,0,Neutral,0.2294260770405584,False,This is average fine regular content about education
POST00212,Twitter,Technology,112,36,5,12,1,3,Neutral,0.3229053473878014,False,This is typical okay typical content about technology
POST00213,Twitter,Business,252,13,57,3,8,3,Positive,0.5906842302905566,False,This is love amazing amazing content about politics
POST00214,TikTok,Entertainment,86,179,23,15,9,4,Neutral,0.656201240129944,True,This is standard average fine content about education
POST00215,Instagram,Education,66,164,2,3,2,4,Negative,0.12138917751338607,False,This is worst awful awful content about health
POST00216,Twitter,Business,87,110,70,0,2,1,Neutral,0.22567452702143198,False,This is standard standard standard content about politics
POST00217,Instagram,Education,71,265,15,7,0,4,Neutral,0.7357484263537363,False,This is okay okay standard content about technology
POST00218,Facebook,Education,112,21,39,15,5,2,Neutral,0.6143510337051631,False,This is regular fine normal content about sports
POST00219,LinkedIn,Technology,169,30,7,31,5,1,Negative,0.08074223068722708,False,This is hate disappointing hate content about sports
POST00220,TikTok,Business,175,46,10,7,9,1,Negative,0.1227143718572008,False,This is worst horrible horrible content about sports
POST00221,Twitter,Health,125,26,5,16,3,0,Negative,0.8069119700529441,False,This is bad awful worst content about technology
POST00222,LinkedIn,Entertainment,85,64,27,4,3,2,Negative,0.008548900754808408,False,This is disappointing disappointing horrible content about entertainment
POST00223,Instagram,Technology,248,44,48,17,9,1,Neutral,0.6598483851950484,False,This is average fine fine content about entertainment
POST00224,Twitter,Politics,244,98,0,13,0,2,Positive,0.20760222213834567,False,This is amazing excellent amazing content about politics
POST00225,Twitter,Business,168,8,27,2,0,1,Neutral,0.00978290953480121,False,This is normal regular typical content about health
POST00226,Instagram,Politics,129,174,11,17,7,0,Positive,0.35254976940432614,False,This is love excellent wonderful content about health
POST00227,Instagram,Health,209,123,26,6,9,4,Negative,0.3894470142149262,False,This is terrible hate worst content about business
POST00228,LinkedIn,Business,216,26,23,3,5,2,Neutral,0.17728974051858992,False,This is normal regular typical content about technology
POST00229,Twitter,Entertainment,64,125,20,10,6,1,Positive,0.8667618465363511,False,This is great wonderful love content about business
POST00230,Instagram,Entertainment,235,6,14,3,1,1,Positive,0.17249898133222696,False,This is excellent love fantastic content about sports
POST00231,TikTok,Entertainment,64,33,17,8,2,4,Neutral,0.1007394648446176,False,This is average standard regular content about business
POST00232,LinkedIn,Education,189,217,26,8,4,2,Negative,0.99527369974092,False,This is disappointing horrible hate content about entertainment
POST00233,TikTok,Sports,146,406,7,11,1,1,Positive,0.6499381158370163,True,This is love excellent great content about technology
POST00234,LinkedIn,Politics,118,57,7,47,2,0,Positive,0.6130210870542446,False,This is best best excellent content about business
POST00235,Instagram,Business,150,19,15,4,8,3,Neutral,0.4754474132748777,False,This is okay okay normal content about entertainment
POST00236,LinkedIn,Business,258,157,5,1,5,3,Positive,0.35920640192111797,True,This is fantastic love excellent content about technology
POST00237,TikTok,Technology,23,23,6,3,4,1,Neutral,0.5757278371115573,False,This is standard okay fine content about health
POST00238,Instagram,Technology,191,10,2,0,0,4,Positive,0.10881801451518314,False,This is great great amazing content about sports
POST00239,TikTok,Education,167,55,22,5,1,2,Negative,0.7534110170961925,False,This is hate horrible worst content about education
POST00240,LinkedIn,Entertainment,124,3,19,4,0,2,Neutral,0.6376739752002641,True,This is normal typical typical content about education
POST00241,Facebook,Technology,220,57,3,0,1,3,Neutral,0.04792715844847251,False,This is fine fine standard content about sports
POST00242,LinkedIn,Sports,196,29,5,22,5,4,Neutral,0.9049429325377628,False,This is normal fine okay content about technology
POST00243,Twitter,Technology,198,218,27,24,7,3,Neutral,0.4683467856227318,False,This is standard typical typical content about health
POST00244,Facebook,Politics,176,10,20,2,4,4,Positive,0.7886694630532053,False,This is love amazing great content about health
POST00245,TikTok,Education,86,8,5,8,1,0,Positive,0.6610969991519181,False,This is excellent amazing amazing content about health
POST00246,Instagram,Health,248,31,19,18,6,1,Neutral,0.785713215426149,False,This is regular okay regular content about entertainment
POST00247,Twitter,Entertainment,196,54,89,13,1,3,Positive,0.09240399778627184,False,This is fantastic amazing amazing content about technology
POST00248,Facebook,Education,208,7,3,3,2,3,Negative,0.1275720184560828,False,This is awful awful hate content about politics
POST00249,Instagram,Health,136,221,59,1,4,3,Positive,0.5597534190365072,False,This is love best best content about politics
POST00250,Instagram,Education,110,45,4,0,8,4,Negative,0.7080158142175308,False,This is disappointing awful horrible content about politics
